Plate	Well	Sample	Target	Cq	Reporter	Task	Replicate	Tm1	Tm2	Status	Omit
Plate 01	A1	Control_01	GAPDH	20.02	FAM	Unknown	1	82.1		Passed	
Plate 01	A2	Control_01	GAPDH	20.12	FAM	Unknown	2	82.1		Passed	
Plate 01	A3	Control_01	GAPDH	20.16	FAM	Unknown	3	82.1		Passed	
Plate 01	B1	Treat_01	GAPDH	19.92	FAM	Unknown	1	82.1		Passed	
Plate 01	B2	Treat_01	GAPDH	20.02	FAM	Unknown	2	82.1		Passed	
Plate 01	B3	Treat_01	GAPDH	20.06	FAM	Unknown	3	82.1		Passed	
Plate 01	C1	Treat_02	GAPDH	20.32	FAM	Unknown	1	82.1		Passed	
Plate 01	C2	Treat_02	GAPDH	20.42	FAM	Unknown	2	82.1		Passed	
Plate 01	C3	Treat_02	GAPDH	20.46	FAM	Unknown	3	82.1		Passed	
Plate 01	D1	Treat_03	GAPDH	19.82	FAM	Unknown	1	82.1		Passed	
Plate 01	D2	Treat_03	GAPDH	19.92	FAM	Unknown	2	82.1		Passed	
Plate 01	D3	Treat_03	GAPDH	19.96	FAM	Unknown	3	82.1		Passed	
Plate 01	E1	Control_01	FBN2	23.92	FAM	Unknown	1	84.3		Passed	
Plate 01	E2	Control_01	FBN2	24.02	FAM	Unknown	2	84.3		Passed	
Plate 01	E3	Control_01	FBN2	24.06	FAM	Unknown	3	84.3		Passed	
Plate 01	F1	Treat_01	FBN2	22.62	FAM	Unknown	1	84.3		Passed	
Plate 01	F2	Treat_01	FBN2	22.72	FAM	Unknown	2	84.3		Passed	
Plate 01	F3	Treat_01	FBN2	22.76	FAM	Unknown	3	84.3		Passed	
Plate 01	G1	Treat_02	FBN2	23.02	FAM	Unknown	1	84.3		Passed	
Plate 01	G2	Treat_02	FBN2	23.12	FAM	Unknown	2	84.3		Passed	
Plate 01	G3	Treat_02	FBN2	23.82	FAM	Unknown	3	84.3		Passed	
Plate 01	H1	Treat_03	FBN2	21.72	FAM	Unknown	1	84.3		Passed	
Plate 01	H2	Treat_03	FBN2	21.82	FAM	Unknown	2	84.3		Passed	
Plate 01	H3	Treat_03	FBN2	21.86	FAM	Unknown	3	84.3		Passed	
Plate 01	A4	Control_01	ZNF436	26.12	FAM	Unknown	1	80.7		Passed	
Plate 01	A5	Control_01	ZNF436	26.22	FAM	Unknown	2	80.7		Passed	
Plate 01	A6	Control_01	ZNF436	26.26	FAM	Unknown	3	80.7		Passed	
Plate 01	B4	Treat_01	ZNF436	25.52	FAM	Unknown	1	80.7		Passed	
Plate 01	B5	Treat_01	ZNF436	25.62	FAM	Unknown	2	80.7		Passed	
Plate 01	B6	Treat_01	ZNF436	25.66	FAM	Unknown	3	80.7		Passed	
Plate 01	C4	Treat_02	ZNF436	24.72	FAM	Unknown	1	80.7		Passed	
Plate 01	C5	Treat_02	ZNF436	24.82	FAM	Unknown	2	80.7		Passed	
Plate 01	C6	Treat_02	ZNF436	24.86	FAM	Unknown	3	80.7		Passed	
Plate 01	D4	Treat_03	ZNF436	26.62	FAM	Unknown	1	80.7		Passed	
Plate 01	D5	Treat_03	ZNF436	26.72	FAM	Unknown	2	80.7		Passed	
Plate 01	D6	Treat_03	ZNF436	26.76	FAM	Unknown	3	80.7		Passed	
